year,region_id,region_name,ons_code,road_category_id,road_category_name,road_category_description,total_link_length_km,total_link_length_miles,all_motor_vehicles
2023,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1556300000
2023,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2023,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,12400000
2023,6,London,E12000007,4,PA,"Class A Principal road",1750.8,1087.9,9785100000
2023,6,London,E12000007,5,M,"Minor road",13004.69,8080.74,7842800000
2022,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1511400000
2022,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2022,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,11000000
2022,6,London,E12000007,4,PA,"Class A Principal road",1749.4,1087.03,9839100000
2022,6,London,E12000007,5,M,"Minor road",13001.39,8078.69,7727900000
2021,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1329600000
2021,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2021,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,8900000
2021,6,London,E12000007,4,PA,"Class A Principal road",1750.1,1087.46,9445800000
2021,6,London,E12000007,5,M,"Minor road",12996.32,8075.54,7668900000
2020,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1223500000
2020,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2020,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,7600000
2020,6,London,E12000007,4,PA,"Class A Principal road",1749.9,1087.34,8834400000
2020,6,London,E12000007,5,M,"Minor road",12994.52,8074.42,6548100000
2019,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1608200000
2019,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2019,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,13100000
2019,6,London,E12000007,4,PA,"Class A Principal road",1747.5,1085.85,10631600000
2019,6,London,E12000007,5,M,"Minor road",13005.45,8081.21,8011500000
2018,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.3,37.47,1593900000
2018,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2018,6,London,E12000007,3,TA,"Class A Trunk road",1.6,0.99,13100000
2018,6,London,E12000007,4,PA,"Class A Principal road",1745.5,1084.6,10699500000
2018,6,London,E12000007,5,M,"Minor road",13000.33,8078.03,7686300000
2017,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1558600000
2017,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2017,6,London,E12000007,3,TA,"Class A Trunk road",1.3,0.81,10400000
2017,6,London,E12000007,4,PA,"Class A Principal road",1716.5,1066.58,10385200000
2017,6,London,E12000007,5,M,"Minor road",13064.12,8117.67,8101100000
2016,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1536600000
2016,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2016,6,London,E12000007,3,TA,"Class A Trunk road",1.3,0.81,10800000
2016,6,London,E12000007,4,PA,"Class A Principal road",1719.5,1068.45,10247300000
2016,6,London,E12000007,5,M,"Minor road",13052.63,8110.53,8288300000
2015,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1498800000
2015,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2015,6,London,E12000007,3,TA,"Class A Trunk road",0,0,0
2015,6,London,E12000007,4,PA,"Class A Principal road",1719,1068.14,10222400000
2015,6,London,E12000007,5,M,"Minor road",13017.05,8088.42,7929000000
2014,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1468300000
2014,6,London,E12000007,2,PM,"M or Class A Principal Motorway",0,0,0
2014,6,London,E12000007,3,TA,"Class A Trunk road",0,0,0
2014,6,London,E12000007,4,PA,"Class A Principal road",1717.66,1067.3,10284900000
2014,6,London,E12000007,5,M,"Minor road",13065.08,8118.26,7927200000
2013,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1397000000
2013,6,London,E12000007,4,PA,"Class A Principal road",1713.16,1064.51,10184400000
2013,6,London,E12000007,5,M,"Minor road",13056.38,8112.86,7733100000
2012,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1394600000
2012,6,London,E12000007,4,PA,"Class A Principal road",1713.26,1064.57,10128600000
2012,6,London,E12000007,5,M,"Minor road",13041.17,8103.41,7817300000
2011,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1323800000
2011,6,London,E12000007,4,PA,"Class A Principal road",1712.9,1064.35,10366300000
2011,6,London,E12000007,5,M,"Minor road",13027.1,8094.66,7805200000
2010,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1371800000
2010,6,London,E12000007,4,PA,"Class A Principal road",1719.8,1068.63,10709200000
2010,6,London,E12000007,5,M,"Minor road",13039.2,8102.18,7771000000
2009,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1404800000
2009,6,London,E12000007,4,PA,"Class A Principal road",1720.9,1069.32,10684400000
2009,6,London,E12000007,5,M,"Minor road",13019.6,8090,8022400000
2008,6,London,E12000007,1,TM,"M or Class A Trunk Motorway",60.1,37.34,1389700000
2008,6,London,E12000007,4,PA,"Class A Principal road",1720.1,1068.82,10716400000
